item,itemLabel,coord,elevation,nativeLabel,kanaQualifier,wikipedia_url
http://www.wikidata.org/entity/Q109367202,月ヶ原山,Point(136.795833333 36.395277777),1169.8,,,https://ja.wikipedia.org/wiki/%E6%9C%88%E3%83%B6%E5%8E%9F%E5%B1%B1
http://www.wikidata.org/entity/Q109367433,ぼら山,,58,,,https://ja.wikipedia.org/wiki/%E3%81%BC%E3%82%89%E5%B1%B1
http://www.wikidata.org/entity/Q109369288,御朱印谷山,,1218.1,,,https://ja.wikipedia.org/wiki/%E5%BE%A1%E6%9C%B1%E5%8D%B0%E8%B0%B7%E5%B1%B1
http://www.wikidata.org/entity/Q109370496,江鳶山,Point(144.597222222 43.743888888),711,,,https://ja.wikipedia.org/wiki/%E6%B1%9F%E9%B3%B6%E5%B1%B1
http://www.wikidata.org/entity/Q10940452,天王山,Point(135.67671 34.9018),270,,,https://ja.wikipedia.org/wiki/%E5%A4%A9%E7%8E%8B%E5%B1%B1
http://www.wikidata.org/entity/Q10940452,天王山,Point(135.67622 34.90181),270,,,https://ja.wikipedia.org/wiki/%E5%A4%A9%E7%8E%8B%E5%B1%B1
http://www.wikidata.org/entity/Q10942052,夷守岳,Point(130.909166666 31.950833333),1344,,,https://ja.wikipedia.org/wiki/%E5%A4%B7%E5%AE%88%E5%B2%B3
http://www.wikidata.org/entity/Q10942052,夷守岳,Point(130.90972222 31.94972222),1344,,,https://ja.wikipedia.org/wiki/%E5%A4%B7%E5%AE%88%E5%B2%B3
http://www.wikidata.org/entity/Q10942951,如意ヶ嶽,Point(135.825939 35.016797),472,如意ヶ嶽,にょい が たけ,https://ja.wikipedia.org/wiki/%E5%A6%82%E6%84%8F%E3%83%B6%E5%B6%BD
http://www.wikidata.org/entity/Q109438394,火打山,Point(133.97225 33.960277777),1420,,,https://ja.wikipedia.org/wiki/%E7%81%AB%E6%89%93%E5%B1%B1_(%E5%BE%B3%E5%B3%B6%E7%9C%8C)
http://www.wikidata.org/entity/Q109453311,白津山,,443.37,,,https://ja.wikipedia.org/wiki/%E7%99%BD%E6%B4%A5%E5%B1%B1
http://www.wikidata.org/entity/Q10950373,宮之浦岳,Point(130.516666666 30.333333333),1936,宮之浦岳,みやのうらだけ,https://ja.wikipedia.org/wiki/%E5%AE%AE%E4%B9%8B%E6%B5%A6%E5%B2%B3
http://www.wikidata.org/entity/Q109594799,朝里岳,Point(141.045194444 43.061333333),1280.6,,,https://ja.wikipedia.org/wiki/%E6%9C%9D%E9%87%8C%E5%B2%B3
http://www.wikidata.org/entity/Q109594966,七滝山,Point(140.650513888 39.420405555),776.7,,,https://ja.wikipedia.org/wiki/%E4%B8%83%E6%BB%9D%E5%B1%B1
http://www.wikidata.org/entity/Q109595899,百々路山,,386.4,,,https://ja.wikipedia.org/wiki/%E7%99%BE%E3%80%85%E8%B7%AF%E5%B1%B1
http://www.wikidata.org/entity/Q109596639,後白髪山,Point(140.637777777 38.425277777),1422.5,,,https://ja.wikipedia.org/wiki/%E5%BE%8C%E7%99%BD%E9%AB%AA%E5%B1%B1
http://www.wikidata.org/entity/Q109597227,西又山,Point(134.058333333 33.691666666),1360,,,https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%8F%88%E5%B1%B1
http://www.wikidata.org/entity/Q109597645,湯村山,,446,,,https://ja.wikipedia.org/wiki/%E6%B9%AF%E6%9D%91%E5%B1%B1
http://www.wikidata.org/entity/Q109597901,稼勢山,Point(134.465 33.925277777),501.4,,,https://ja.wikipedia.org/wiki/%E7%A8%BC%E5%8B%A2%E5%B1%B1
http://www.wikidata.org/entity/Q109597905,古鷹山,,394,,,https://ja.wikipedia.org/wiki/%E5%8F%A4%E9%B7%B9%E5%B1%B1
http://www.wikidata.org/entity/Q109598234,化雲岳,Point(142.861458333 43.565333333),1954.5,,,https://ja.wikipedia.org/wiki/%E5%8C%96%E9%9B%B2%E5%B2%B3
http://www.wikidata.org/entity/Q109598506,十和田山,Point(140.970972222 40.462472222),1053.9,,,https://ja.wikipedia.org/wiki/%E5%8D%81%E5%92%8C%E7%94%B0%E5%B1%B1
http://www.wikidata.org/entity/Q109599055,稲横山,,213,,,https://ja.wikipedia.org/wiki/%E7%A8%B2%E6%A8%AA%E5%B1%B1
http://www.wikidata.org/entity/Q109599058,北峯,,545.3,,,https://ja.wikipedia.org/wiki/%E5%8C%97%E5%B3%AF
http://www.wikidata.org/entity/Q109599068,西ヶ峯,,924.2,,,https://ja.wikipedia.org/wiki/%E8%A5%BF%E3%83%B6%E5%B3%AF
http://www.wikidata.org/entity/Q109599071,高磯山,,611,,,https://ja.wikipedia.org/wiki/%E9%AB%98%E7%A3%AF%E5%B1%B1
http://www.wikidata.org/entity/Q109603002,勘場山,,1633.8,,,https://ja.wikipedia.org/wiki/%E5%8B%98%E5%A0%B4%E5%B1%B1
http://www.wikidata.org/entity/Q109605184,砥石権現,Point(134.2575 33.916388888),1374.9,,,https://ja.wikipedia.org/wiki/%E7%A0%A5%E7%9F%B3%E6%A8%A9%E7%8F%BE
